23-04-2024 21:28:30.139 | 8792 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
23-04-2024 21:28:30.141 | 8794 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
23-04-2024 21:28:30.254 | 8907 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'errorPageCustomizer'
23-04-2024 21:28:30.255 | 8908 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
23-04-2024 21:28:30.256 | 8909 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
23-04-2024 21:28:30.262 | 8915 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'dispatcherServletRegistration'
23-04-2024 21:28:30.262 | 8915 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration'
23-04-2024 21:28:30.267 | 8920 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'dispatcherServlet'
23-04-2024 21:28:30.267 | 8920 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration'
23-04-2024 21:28:30.277 | 8930 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
23-04-2024 21:28:30.291 | 8944 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'dispatcherServlet' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
23-04-2024 21:28:30.423 | 9076 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'dispatcherServlet'
23-04-2024 21:28:30.423 | 9076 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
23-04-2024 21:28:30.429 | 9082 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'multipartConfigElement'
23-04-2024 21:28:30.431 | 9084 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration'
23-04-2024 21:28:30.433 | 9086 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
23-04-2024 21:28:30.450 | 9103 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration' via constructor to bean named 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
23-04-2024 21:28:30.503 | 9156 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'errorPageCustomizer' via factory method to bean named 'dispatcherServletRegistration'
23-04-2024 21:28:31.070 | 9723 | [main] | DEBUG | o.s.b.w.e.t.TomcatServletWebServerFactory - Code archive: C:\Users\giovane\.m2\repository\org\springframework\boot\spring-boot\3.2.5\spring-boot-3.2.5.jar
23-04-2024 21:28:31.070 | 9723 | [main] | DEBUG | o.s.b.w.e.t.TomcatServletWebServerFactory - Code archive: C:\Users\giovane\.m2\repository\org\springframework\boot\spring-boot\3.2.5\spring-boot-3.2.5.jar
23-04-2024 21:28:31.072 | 9725 | [main] | DEBUG | o.s.b.w.e.t.TomcatServletWebServerFactory - None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
23-04-2024 21:28:31.143 | 9796 | [main] | INFO  | o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
23-04-2024 21:28:31.170 | 9823 | [main] | INFO  | o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23-04-2024 21:28:31.176 | 9829 | [main] | INFO  | o.a.catalina.core.StandardService - Starting service [Tomcat]
23-04-2024 21:28:31.176 | 9829 | [main] | INFO  | o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
23-04-2024 21:28:31.472 | 10125 | [main] | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23-04-2024 21:28:31.473 | 10126 | [main] | DEBUG | o.s.b.w.s.c.ServletWebServerApplicationContext - Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
23-04-2024 21:28:31.473 | 10126 | [main] | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7720 ms
23-04-2024 21:28:31.479 | 10132 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'webMvcObservationFilter'
23-04-2024 21:28:31.479 | 10132 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.observation.web.servlet.WebMvcObservationAutoConfiguration'
23-04-2024 21:28:31.485 | 10138 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'observationRegistry'
23-04-2024 21:28:31.485 | 10138 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.observation.ObservationAutoConfiguration'
23-04-2024 21:28:31.505 | 10158 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertiesObservationFilter'
23-04-2024 21:28:31.511 | 10164 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'management.observations-org.springframework.boot.actuate.autoconfigure.observation.ObservationProperties'
23-04-2024 21:28:31.535 | 10188 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'propertiesObservationFilter' via factory method to bean named 'management.observations-org.springframework.boot.actuate.autoconfigure.observation.ObservationProperties'
